27/2/2025 18:48 | LQozS57opxc5ZVl9kL6aKRUDEQ0yJ2xu | [error] | Method: POST | Status: 500 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/login | Request Body : {"email":"admin@churchsoln.com","password":"ChurchsolnAdmin2025!"} | Error : SequelizeDatabaseError: relation "schoolproject.users" does not exist
27/2/2025 18:49 | cvCVcj7oLpXNKV4eSHnFgPuKU268i1fW | [error] | Method: POST | Status: 500 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/login | Request Body : {"email":"xxx@gmail.com","password":"password"} | Error : SequelizeDatabaseError: relation "schoolproject.users" does not exist
27/2/2025 19:35 | HJh30AZKqwOv9pb68dxlb1UOktvm0Ufg | [error] | Method: POST | Status: 500 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/register | Request Body : {"first_name":"Jhon","last_name":"Peter","email":"jhon@gmail.com","password":"jhon123","city":"Lagos"} | Error : SequelizeDatabaseError: relation "schoolproject.users" does not exist
27/2/2025 19:35 | QbZPtn5jeLjHhoiIDnSSp2h5z5sXXsvX | [error] | Method: POST | Status: 500 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/register | Request Body : {"first_name":"Jhon","last_name":"Peter","email":"jhon@gmail.com","password":"jhon123","city":"Lagos"} | Error : SequelizeDatabaseError: relation "schoolproject.users" does not exist
27/2/2025 19:40 | Lr3Imum978pPHLIjlYMNopRZR3UMfHFZ | [info] | Method: POST | Status: 200 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/register | Request Body : {"first_name":"Jhon","last_name":"Peter","email":"jhon@gmail.com","password":"jhon123","city":"Lagos"} | Response :  null
27/2/2025 19:42 | eqjtJAwndGWP6OeaDGrajwOqXysHFcWo | [error] | Method: POST | Status: 500 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/register | Request Body : {"first_name":"Jhon","last_name":"Peter","email":"jhon@gmail.com","password":"jhon123","city":"Lagos"} | Error : SequelizeDatabaseError: relation "schoolproject.users" does not exist
27/2/2025 19:43 | eMVXgG8hHc6GmuGOaBlb6wcnKkvXyjtB | [error] | Method: POST | Status: 500 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/register | Request Body : {"first_name":"Jhon","last_name":"Peter","email":"jhon@gmail.com","password":"jhon123","city":"Lagos"} | Error : SequelizeDatabaseError: relation "schoolproject.users" does not exist
27/2/2025 19:43 | FBSKZxsNuT0o9UIHXe5mEPY1DEXoZa69 | [info] | Method: POST | Status: 200 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/register | Request Body : {"first_name":"Jhon","last_name":"Peter","email":"jhon@gmail.com","password":"jhon123","city":"Lagos"} | Response :  null
27/2/2025 20:01 | 3k5OaFQGe4cqXlvRPlaw962hY4hrDFzG | [info] | Method: POST | Status: 200 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/register | Request Body : {"first_name":"Jhon","last_name":"Peter","email":"jhon@gmail.com","password":"jhon123","city":"Lagos"} | Response :  {"id":1,"first_name":null,"last_name":null,"email":null,"city":null,"password":null,"status":true,"created_at":"2025-02-27T14:31:32.439Z","updated_at":"2025-02-27T14:31:32.439Z"}
27/2/2025 20:02 | 8J4AnuwNZdkwBojBSxEK3u1EufYyoEyd | [error] | Method: POST | Status: 500 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/register | Request Body : {"first_name":"Jhon","last_name":"Peter","email":"jhon@gmail.com","password":"jhon123","city":"Lagos"} | Error : ReferenceError: utils is not defined
27/2/2025 20:03 | 7OhspKyMgmrknmgL7oagWsjlE4rOyQXu | [info] | Method: POST | Status: 200 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/register | Request Body : {"first_name":"Jhon","last_name":"Peter","email":"jhon@gmail.com","password":"jhon123","city":"Lagos"} | Response :  {"id":2,"first_name":"Jhon","last_name":"Peter","email":"jhon@gmail.com","password":"$2b$08$tXy7VteWoOOoXWEZBhuin.Tjusqmvea7OlkX2uU6h1QuwKPk2O9qi","city":"Lagos","status":true,"created_at":"2025-02-27T14:33:54.374Z","updated_at":"2025-02-27T14:33:54.374Z"}
27/2/2025 20:15 | Ng3oGvoBw0uvsAaZefMwEWda519alMUU | [error] | Method: POST | Status: 500 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/login | Request Body : {"email":"jhon@gmail.com","password":"jhon123"} | Error : Error: data and hash arguments required
27/2/2025 20:16 | 21CsMSjFo6R2Zi9rwI6n8nGlw7OlZciv | [error] | Method: POST | Status: 500 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/login | Request Body : {"email":"jhon@gmail.com","password":"jhon123"} | Error : Error: data and hash arguments required
27/2/2025 20:16 | 3CIkvuAMwKTUqaFHT8vPXMuamjC9xZAU | [error] | Method: POST | Status: 500 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/login | Request Body : {"email":"jhon@gmail.com","password":"jhon123"} | Error : Error: data and hash arguments required
27/2/2025 20:17 | Ql73TX2DLVlY2jzDsaXCsXvpeRsOq0CC | [error] | Method: POST | Status: 500 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/login | Request Body : {"email":"jhon@gmail.com","password":"jhon123"} | Error : Error: data and hash arguments required
27/2/2025 20:18 | La1kFKmxA7f8YS4sp7rZryZDbFqZtesk | [error] | Method: POST | Status: 500 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/login | Request Body : {"email":"jhon@gmail.com","password":"jhon123"} | Error : Error: Invalid array length
27/2/2025 20:18 | yIXgxbtOBBPzVLhAn6acAzmoRMtCaRPH | [error] | Method: POST | Status: 500 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/login | Request Body : {"email":"jhon@gmail.com","password":"jhon123"} | Error : Error: Invalid array length
27/2/2025 20:19 | ydCLusJcvrSfUiajOzyvkAZDONWsvA6T | [error] | Method: POST | Status: 500 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/login | Request Body : {"email":"jhon@gmail.com","password":"jhon123"} | Error : Error: Invalid array length
27/2/2025 20:19 | tj0jw6VII3We40Wu6ai4ETpUJMJLeawa | [error] | Method: POST | Status: 500 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/login | Request Body : {"email":"jhon@gmail.com","password":"jhon123"} | Error : Error: Invalid array length
27/2/2025 20:22 | WaHvl5xIZ9HCXbSvGoeMxiKR6fuJtjwL | [error] | Method: POST | Status: 500 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/login | Request Body : {"email":"jhon@gmail.com","password":"jhon123"} | Error : Error: Invalid array length
27/2/2025 20:22 | xb5AJQJa3VYKWO8OYxaGZfLdRyMS5fPE | [error] | Method: POST | Status: 500 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/login | Request Body : {"email":"jhon@gmail.com","password":"jhon123"} | Error : Error: Invalid array length
