1/3/2025 23:16 | XOgYIU6tpqRRta3HrqlO1JFp3ZYJA8gq | [info] | Method: POST | Status: 200 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/login | Request Body : {"email":"jhon@gmail.com","password":"jhon123"} | Response :  {"token":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpZCI6MSwiZW1haWwiOiJqaG9uQGdtYWlsLmNvbSIsImlhdCI6MTc0MDg1MTIwM30.Uln5w9IvRMNXE4Y8CNV1FzyxzfEOjqLjaA_pSUs32jc"}
1/3/2025 23:16 | uk0JhiNkw8paeDPnveVwMzYotupo67fS | [error] | Method: POST | Status: 422 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/carbon-footprint | Request Body : {"transportation":1200,"energy_consuption":1200,"diet":1200,"household_size":1200,"waaste_generated":1200,"carbon_emission":45000,"carbon_footprint_score":"low","category":"string","comments":"string"} | BadRequestError : {"waste_generated":"waste_generated is required","category":"category must be one of [transport, electricity, food]"}
1/3/2025 23:18 | R6PTeSkz09DqrPl9zlgr4OcCr5NSEUcy | [error] | Method: POST | Status: 422 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/carbon-footprint | Request Body : {"transportation":1200,"energy_consuption":1200,"diet":1200,"household_size":1200,"waste_generated":1200,"carbon_emission":45000,"carbon_footprint_score":"low","category":"string","comments":"string"} | BadRequestError : {"category":"category must be one of [transport, electricity, food]"}
1/3/2025 23:18 | LhtFIU6TAw6NdDnNq1S5eUOqH46mTsxi | [info] | Method: POST | Status: 200 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/carbon-footprint | Request Body : {"transportation":1200,"energy_consuption":1200,"diet":1200,"household_size":1200,"waste_generated":1200,"carbon_emission":45000,"carbon_footprint_score":"low","category":"transport","comments":"string"} | Response :  {"date_recorded":"2025-03-01T17:48:23.562Z","id":1,"user_id":1,"transportation":1200,"energy_consuption":1200,"diet":"1200","household_size":1200,"waste_generated":1200,"carbon_emission":45000,"carbon_footprint_score":"low","category":"transport","comments":"string","created_at":"2025-03-01T17:48:23.569Z","updated_at":"2025-03-01T17:48:23.569Z"}
1/3/2025 23:32 | UtZiDvmhBIAbZL0F4mlMegfDlE2ANKHP | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/carbon-footprint | Request Body : {} | Response :  []
1/3/2025 23:32 | UtZiDvmhBIAbZL0F4mlMegfDlE2ANKHP | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/carbon-footprint | Request Body : {} | Response :  []
1/3/2025 23:33 | o8tupuKG8X2upNh9pJxfxz5fmARxpWVc | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/carbon-footprint | Request Body : {} | Response :  []
1/3/2025 23:34 | jAbIcH7nHcvXSw4O91hn8WPjKiQetcs6 | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/carbon-footprint | Request Body : {} | Response :  [{"id":1,"user_id":1,"transportation":1200,"energy_consuption":1200,"diet":"1200","household_size":1200,"waste_generated":1200,"carbon_emission":45000,"carbon_footprint_score":"low","date_recorded":"2025-03-01T17:48:23.562Z","category":"transport","comments":"string","created_at":"2025-03-01T17:48:23.569Z","updated_at":"2025-03-01T17:48:23.569Z"}]
1/3/2025 23:35 | pWHino9MJXYnOxWvzDvkhpqOPW9bNzj4 | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/carbon-footprint | Request Body : {} | Response :  []
1/3/2025 23:35 | pWHino9MJXYnOxWvzDvkhpqOPW9bNzj4 | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/carbon-footprint | Request Body : {} | Response :  []
1/3/2025 23:36 | pz9bMmD4zXWw5wqpYzh4UXlj7NS8ozKp | [info] | Method: GET | Status: 200 | IP : ::1 | URL : http://localhost:3001/school/v1/api/user/carbon-footprint | Request Body : {} | Response :  [{"id":1,"user_id":1,"transportation":1200,"energy_consuption":1200,"diet":"1200","household_size":1200,"waste_generated":1200,"carbon_emission":45000,"carbon_footprint_score":"low","date_recorded":"2025-03-01T17:48:23.562Z","category":"transport","comments":"string","created_at":"2025-03-01T17:48:23.569Z","updated_at":"2025-03-01T17:48:23.569Z"}]
